Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
 J2E14295	4 Plex Recovery Complemento Vitaminico 30gr	$300.00	$450.00	$345.00	1	1	- Sin Departamento -
2.30E+03	4.5-10KG 1 MES	$293.00	$380.00	$0.00	6	0	DIPROFARVET
7.50109E+12	ALIN OFTALMICO	$119.00	$180.00	$150.00	0	0	- Sin Departamento -
7.50634E+12	ARTRO TABS 30 TAB	$334.00	$600.00	$450.00	2	0	dist.gomez tagle
7.79804E+12	Acedan 10ml Tranquilizante	$235.00	$350.00	$270.00	1	1	- Sin Departamento -
7.75665E+12	Agrovet 100ml Inyectable	$150.00	$250.00	$173.00	1	1	MERAGRO
7.50636E+12	Alben Max 10 Kg  Tableta 	$20.00	$50.00	$30.00	241	30	ESPINOSA
7.50636E+12	Alben Max 30 Kg	$34.00	$150.00	$40.00	73	30	- Sin Departamento -
7.50636E+12	Alben Puppy Antiparasitario	$20.00	$50.00	$25.00	89	5	telvet
7.50109E+12	Alin 100 ml	$331.00	$450.00	$390.00	4	1	segavet
7.50109E+12	Alin Depot 50ml Inyectable	$680.00	$750.00	$714.00	3	2	segavet
 28811N	Aluspray Cicatrizante 	$264.00	$380.00	$320.00	9	3	DIPROFARVET
7.34448E+11	Alveum 100ml	$140.00	$200.00	$161.00	2	1	- Sin Departamento -
7.50223E+12	Amoxi Pets L 	$232.00	$450.00	$400.00	1	0	SANTA MARIA
7.50223E+12	Amoxi Pets M	$129.00	$250.00	$0.00	1	0	SANTA MARIA
7.50657E+12	Amoxi-Peek 250 Mg Adulto	$204.00	$300.00	$250.00	1	1	- Sin Departamento -
7.50657E+12	Amoxi-peek 62.5	$127.50	$200.00	$140.00	0	1	- Sin Departamento -
7.50634E+12	AmoxiPet 50 Tabs	$168.00	$250.00	$0.00	2	0	DYSVET
7.50634E+12	"Amoxin 100, 30 Ml Pets Pharma"	$140.00	$250.00	$200.00	2	2	gomez tagle
7.50634E+12	Amoxin 250 30ml Pets Pharma	$190.00	$300.00	$250.00	3	2	gomez tagle
7.50634E+12	Amoxipet Plus 200 Mg 	$329.00	$500.00	$330.00	1	0	DYSVET
7.50634E+12	Amoxipet Plus 500	$240.00	$500.00	$0.00	0	0	DYSVET
 SLTS	Animox Sueltas 	$13.00	$20.00	$0.00	30	0	- Sin Departamento -
7.50634E+12	Animox Tabs 30 	$216.00	$390.00	$320.00	1	0	LAS POTRANCAS
7.50634E+12	Apetikan Solucion Oral 30ml 	$150.50	$350.00	$200.00	6	0	DYSVET
7.79804E+12	Apetil 10ml	$170.00	$250.00	$200.00	0	2	segavet
5.41474E+12	Apoquel 16mg 	$43.00	$950.00	$0.00	0	2	segavet
5.41474E+12	Apoquel 3.6mg	$29.00	$600.00	$35.00	0	0	segavet
5.41474E+12	Apoquel 5.4mg	$496.00	$860.00	$600.00	1	1	segavet
7.50223E+12	Appetit Pets 30ml	$0.00	$250.00	$200.00	2	0	SANTA MARIA
7.50226E+12	Army Jabon Antipulgas	$27.00	$70.00	$35.00	15	1	- Sin Departamento -
7.50226E+12	Army Shampoo	$65.00	$150.00	$75.00	0	1	HUIMANGUILLO
7.50636E+12	Artrodol Suspension 	$258.00	$380.00	$330.00	3	2	ESPINOSA
7.93888E+11	Artroflex 60 Tab	$516.00	$850.00	$595.00	0	1	DEL VALLE
5.42004E+12	Asuntol Jabón	$50.00	$75.00	$60.00	1	3	HUIMANGUILLO
5.42004E+12	Atopica 100mg 30 Tab	$992.25	"$1,550.00"	"$1,200.00"	0	1	CATSAVET
5.42004E+12	Atopica 50mg 30 Tab	$815.85	"$1,200.00"	"$1,000.00"	1	1	CATSAVET
7517	Atrayente Entrenador 	$110.00	$200.00	$0.00	2	0	DIPROFARVET
7.79804E+12	Atriben Susp. Inyectable 20ml	$335.00	$50.00	$40.00	19	1	segavet
 J3B14753	Auripet 10ml Antimicrobiano-Antimicotico	$84.00	$180.00	$150.00	1	3	LAS POTRANCAS
7.50223E+12	Azitromi Pets Susp.	$0.00	$250.00	$200.00	1	0	- Sin Departamento -
 AZO90	Azodil 90 Caps 	"$1,292.00"	"$1,500.00"	"$1,400.00"	0	0	HUIMANGUILLO
 BAN-4	BANDANA NUMERO 4	$50.00	$120.00	$0.00	4	1	accesorios
 BIO	BIODRYL 20 ML	$20.00	$60.00	$0.00	3	0	aranda 
